                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                       STW_1   0.4037   0.3931   0.6956   0.749    0.0941   0.120  0.144  0.79    0.7234
                         T_2   0.0749   0.0708   0.1319   0.816    0.1064   0.170  0.169  1.00    0.6909
                        FLDS   0.4022   0.3764   0.6908   0.782    0.1135   0.191  0.191  1.00    0.6810
                         U_1   0.2532   0.2455   0.4588   0.842    0.0866   0.109  0.114  0.99    0.6999
                         V_3   0.0583   0.0538   0.0966   0.736    0.1245   0.222  0.219  1.00    0.6825
                         T_3   0.1053   0.0988   0.1862   0.829    0.1068   0.178  0.179  1.00    0.6880
                         V_6   0.0775   0.0719   0.1274   0.717    0.1134   0.209  0.210  1.00    0.6847
                       STW_7   0.1480   0.1394   0.2464   0.723    0.0979   0.176  0.176  1.00    0.6907
                          PS   0.0321   0.0266   0.0570   0.948    0.2128   0.352  0.353  1.00    0.6465
                         T_0   0.2091   0.2055   0.3975   0.918    0.0769   0.066  0.068  0.87    0.7029
                         T_4   0.0777   0.0725   0.1346   0.799    0.1111   0.193  0.190  1.00    0.6858
                        TAUX   0.0707   0.0659   0.1147   0.691    0.1086   0.203  0.217  0.98    0.6679
                       STW_0   0.8770   0.8786   1.0006   0.139    0.0093  -0.007  0.011  0.63    0.7707
                       STW_4   0.1631   0.1551   0.2714   0.713    0.0919   0.159  0.163  1.00    0.6928
                         V_2   0.0989   0.0940   0.1717   0.785    0.1058   0.163  0.163  1.00    0.6912
                       Qat2m   0.1402   0.1321   0.2353   0.736    0.0946   0.173  0.174  1.00    0.6910
                       STW_2   0.3506   0.3441   0.6045   0.743    0.0786   0.090  0.093  1.00    0.7074
                         U_2   0.1552   0.1484   0.2695   0.780    0.0988   0.150  0.155  1.00    0.6945
                          TS   0.0221   0.0201   0.0357   0.707    0.1132   0.240  0.243  1.00    0.6785
                         U_7   0.0732   0.0664   0.1167   0.687    0.1267   0.247  0.252  1.00    0.6753
   frozen_precipitation_rate   0.1151   0.1061   0.1827   0.665    0.1144   0.224  0.240  0.96    0.7007
                      Vat10m   0.0701   0.0639   0.1105   0.665    0.1226   0.241  0.241  1.00    0.6794
  surface_precipitation_rate   0.1382   0.1264   0.2274   0.731    0.1199   0.230  0.230  1.00    0.6896
                         U_0   0.2203   0.2155   0.4083   0.875    0.0796   0.083  0.082  0.95    0.7018
                        FLUT   0.2939   0.2698   0.4851   0.732    0.1060   0.218  0.215  1.00    0.6922
                       LHFLX   0.0593   0.0533   0.0960   0.720    0.1249   0.256  0.256  1.00    0.6677
                      FSUTOA   0.0375   0.0334   0.0617   0.755    0.1252   0.265  0.265  1.00    0.6808
                       SHFLX   0.0192   0.0174   0.0311   0.715    0.1179   0.239  0.223  1.00    0.6759
                        FLUS   0.0118   0.0107   0.0191   0.708    0.1130   0.240  0.237  1.00    0.6678
                         V_1   0.1869   0.1812   0.3408   0.854    0.0865   0.108  0.106  0.99    0.6977
                         V_4   0.0705   0.0660   0.1183   0.743    0.1124   0.194  0.195  1.00    0.6866
                         V_7   0.0605   0.0540   0.0945   0.670    0.1417   0.277  0.278  1.00    0.6709
                         T_6   0.0819   0.0753   0.1361   0.743    0.1154   0.220  0.220  1.00    0.6809
                         T_5   0.0760   0.0705   0.1297   0.778    0.1129   0.203  0.201  1.00    0.6841
                         T_1   0.1582   0.1510   0.2960   0.917    0.1033   0.142  0.143  0.98    0.6932
                         U_4   0.1039   0.0980   0.1753   0.744    0.1058   0.179  0.179  1.00    0.6896
                      Uat10m   0.0861   0.0793   0.1379   0.681    0.1151   0.223  0.226  1.00    0.6804
                       STW_3   0.2126   0.2025   0.3564   0.724    0.0933   0.157  0.155  1.00    0.6984
                         V_0   0.1480   0.1427   0.2714   0.869    0.0920   0.121  0.117  0.98    0.6967
                         T_7   0.0556   0.0502   0.0918   0.748    0.1281   0.248  0.245  1.00    0.6746
                        FSNS   0.0131   0.0115   0.0215   0.763    0.1321   0.279  0.280  1.00    0.6762
                       Tat2m   0.0372   0.0346   0.0634   0.771    0.1062   0.196  0.198  1.00    0.6869
                         U_3   0.0935   0.0875   0.1569   0.743    0.1142   0.196  0.197  1.00    0.6876
                       STW_6   0.1387   0.1317   0.2252   0.673    0.0934   0.166  0.168  1.00    0.6940
                         U_5   0.1095   0.1040   0.1841   0.731    0.0993   0.164  0.166  1.00    0.6929
                    DTENDTTW   0.0573   0.0512   0.0924   0.719    0.1373   0.268  0.271  1.00    0.6717
                         U_6   0.0980   0.0919   0.1631   0.726    0.1051   0.188  0.189  1.00    0.6884
                       STW_5   0.1263   0.1194   0.2065   0.690    0.0952   0.172  0.171  1.00    0.6912
                        TAUY   0.0665   0.0614   0.1080   0.700    0.1191   0.220  0.239  0.98    0.6680
                         V_5   0.0781   0.0738   0.1324   0.750    0.1046   0.174  0.175  1.00    0.6902

channel-mean of (err/persistence): backbone 0.1363  cond-mean 0.1299  member 0.2233
channel-mean tr/e0 0.743  drift/e0 0.1082
channel-mean CRPS/MAE(g0) 0.6880
channel-mean pooled alignment A 0.190; fraction of (state,channel) with A>0: 0.982
