
== Tat2m
            metric  S01_off_3yr S01_fresh_3yr    S01_mean8     S01_ens4
        rmse_step1       0.3835       0.4782       0.3779       0.4871
      rmse_step120        3.919        4.014        4.209        4.091
     rmse_step1460        4.094        3.668        4.098        3.678
       rmse_step20        2.398        2.039        1.818        2.042
      rmse_step360        3.886        3.659        3.866        3.772
        rmse_step4       0.7874       0.8658       0.7051       0.8559
         q001_pred        211.7        210.4        208.8          211
         q001_targ        210.4        210.4        208.6        208.6
         q999_pred        312.5        312.9        314.9        313.9
         q999_targ        315.4        315.4        315.4        315.4
     spec_ratio_hi      -0.1548     0.005847      -0.1602     0.007674
     spec_ratio_lo     -0.01954    -0.007331     -0.01609    -0.005687
      tm_bias_mean      -0.3353      -0.3158      -0.0464     -0.08039
      tm_bias_rmse       0.8114       0.4769       0.2796       0.2595

== PS
            metric  S01_off_3yr S01_fresh_3yr    S01_mean8     S01_ens4
        rmse_step1        37.99        43.85        32.78        44.31
      rmse_step120         1118         1114         1082         1058
     rmse_step1460         1151         1066         1125         1041
       rmse_step20        548.2          434        373.5        426.9
      rmse_step360         1143         1084         1067         1113
        rmse_step4        110.9        95.23        77.59        97.51
         q001_pred    5.675e+04    5.715e+04    5.723e+04     5.76e+04
         q001_targ    5.762e+04    5.762e+04    5.709e+04    5.709e+04
         q999_pred    1.062e+05    1.042e+05    1.046e+05    1.052e+05
         q999_targ    1.052e+05    1.052e+05    1.052e+05    1.052e+05
     spec_ratio_hi    -0.002742     0.000786    -0.001008     0.003334
     spec_ratio_lo    -0.006555    -0.004544    -0.002499    -0.002202
      tm_bias_mean       -10.86        -8.31       -2.253       -3.334
      tm_bias_rmse        155.2        140.6        90.66        73.28

== FLUT
            metric  S01_off_3yr S01_fresh_3yr    S01_mean8     S01_ens4
        rmse_step1         10.1        12.33        9.697        12.41
      rmse_step120        43.03        41.66        42.36        42.47
     rmse_step1460         44.6        44.38        43.09        43.64
       rmse_step20           34        33.91        29.27        33.19
      rmse_step360           47        45.06        46.84        46.75
        rmse_step4        19.18        21.95        17.35         21.7
         q001_pred        106.1        105.2        104.7        109.3
         q001_targ        111.1        111.1        105.4        105.4
         q999_pred        336.3        339.8        345.3        344.7
         q999_targ        345.3        345.3        345.3        345.3
     spec_ratio_hi      -0.4827     -0.05966      -0.5917     -0.05527
     spec_ratio_lo     -0.05152    -0.007719     -0.06391    -0.005258
      tm_bias_mean      0.01994      -0.3448       0.3779        0.327
      tm_bias_rmse         7.21        3.775        2.614        2.543

== U_6
            metric  S01_off_3yr S01_fresh_3yr    S01_mean8     S01_ens4
        rmse_step1       0.6302       0.7312       0.5731       0.7256
      rmse_step120        9.263        8.439        8.563        8.499
     rmse_step1460        9.411        8.684        8.885        8.399
       rmse_step20        5.604        4.593         4.06        4.444
      rmse_step360        9.523        8.956        8.759        8.917
        rmse_step4         1.53        1.462        1.174        1.461
         q001_pred       -24.25       -19.42       -19.76       -20.85
         q001_targ       -19.64       -19.64       -19.64       -19.64
         q999_pred        34.12        33.17        33.77        33.17
         q999_targ        33.75        33.75        33.75        33.75
     spec_ratio_hi      -0.2541    -0.001057      -0.3369     0.009848
     spec_ratio_lo      0.07624    -0.001375     -0.01574     0.009299
      tm_bias_mean      -0.8905      -0.2735        -0.17      -0.1054
      tm_bias_rmse        1.826       0.8296       0.6376       0.4913

== surface_precipitation_rate
            metric  S01_off_3yr S01_fresh_3yr    S01_mean8     S01_ens4
        rmse_step1    2.151e-05    2.569e-05    2.024e-05    2.562e-05
      rmse_step120    0.0001133    0.0001082    0.0001041    0.0001088
     rmse_step1460    0.0001087    0.0001067    0.0001007    0.0001002
       rmse_step20    0.0001008     8.94e-05    7.956e-05        9e-05
      rmse_step360    0.0001065    0.0001063    9.898e-05    0.0001031
        rmse_step4    4.522e-05     5.03e-05     3.93e-05    4.963e-05
         q001_pred     1.87e-05    1.905e-05    1.723e-05    2.084e-05
         q001_targ    3.452e-05    3.452e-05    1.676e-05    1.676e-05
         q999_pred    0.0008463     0.000801    0.0007828    0.0007852
         q999_targ     0.000745     0.000745     0.000745     0.000745
     spec_ratio_hi      -0.3814      -0.1604      -0.5411      -0.1642
     spec_ratio_lo      0.09515      0.03279      0.01373      0.02817
      tm_bias_mean    2.099e-06    6.367e-07    5.689e-07    5.142e-07
      tm_bias_rmse    1.336e-05    5.386e-06    4.137e-06    3.489e-06
