
== Tat2m
            metric      S01_off    S01_fresh   S01_fresh2    S01_fixed     S01_half   S01_double
        rmse_step1       0.3756       0.4761       0.4736       0.4761       0.3953       0.8728
      rmse_step120        3.832        3.681        3.757        3.775        3.408        4.034
     rmse_step1460        3.683        3.645        3.598         3.87        3.749        4.214
       rmse_step20        2.285        1.969        2.007        2.372        2.114        2.752
      rmse_step360         3.65          3.5        3.496         3.93        3.736        3.686
        rmse_step4       0.7446       0.7917       0.7939       0.9447       0.7294        1.417
         q001_pred          211        211.2        210.9        206.6        210.8          201
         q001_targ        209.6        209.6        209.6        209.6        209.6        209.6
         q999_pred        312.5        314.5          315        313.4        314.2          312
         q999_targ          314          314          314          314          314          314
     spec_ratio_hi      -0.1524     0.007159     0.007306       0.2393      -0.1026       0.3602
     spec_ratio_lo     -0.02129    -0.006255    -0.005076      0.01334     -0.01717      0.03622
      tm_bias_mean      -0.1738       -0.109      -0.1008      0.03881       -0.153      -0.6152
      tm_bias_rmse       0.6252       0.2781       0.2583       0.6964       0.5178        1.439

== PS
            metric      S01_off    S01_fresh   S01_fresh2    S01_fixed     S01_half   S01_double
        rmse_step1         38.1        43.91        44.42        43.91        37.72         91.3
      rmse_step120         1122         1021         1083         1154         1089         1055
     rmse_step1460         1169         1014        979.6         1104         1138         1016
       rmse_step20        573.8        423.3        423.2        574.2        507.2        651.4
      rmse_step360         1141         1123         1116         1085         1154         1016
        rmse_step4        109.7        95.15        93.91        118.8        98.17        212.2
         q001_pred    5.689e+04    5.707e+04    5.706e+04    5.679e+04    5.702e+04    5.727e+04
         q001_targ    5.709e+04    5.709e+04    5.709e+04    5.709e+04    5.709e+04    5.709e+04
         q999_pred    1.051e+05    1.052e+05    1.051e+05    1.044e+05    1.052e+05     1.04e+05
         q999_targ    1.046e+05    1.046e+05    1.046e+05    1.046e+05    1.046e+05    1.046e+05
     spec_ratio_hi   -0.0002738     0.003068     0.003156      0.02604    0.0002254      0.02014
     spec_ratio_lo    -0.004638    -0.002365    -0.002544    -0.004706     -0.00418    -0.005562
      tm_bias_mean       -5.857        -3.88       -3.321        0.563       -5.645       0.4382
      tm_bias_rmse        138.5        70.94        77.42        258.6        121.9        351.2

== surface_precipitation_rate
            metric      S01_off    S01_fresh   S01_fresh2    S01_fixed     S01_half   S01_double
        rmse_step1    2.177e-05    2.658e-05    2.579e-05    2.658e-05    2.276e-05    4.582e-05
      rmse_step120     0.000111    0.0001066    0.0001111     0.000124      0.00011    0.0001045
     rmse_step1460    0.0001132    0.0001082    0.0001076    0.0001227    0.0001067    0.0001005
       rmse_step20    0.0001004    8.811e-05    8.811e-05    0.0001145     9.64e-05    9.869e-05
      rmse_step360    0.0001093    0.0001056    0.0001053    0.0001199    0.0001069     0.000101
        rmse_step4    4.756e-05    5.249e-05    5.203e-05    5.833e-05    4.719e-05    8.343e-05
         q001_pred    2.291e-05    2.025e-05    2.023e-05    2.356e-05    1.852e-05    1.654e-05
         q001_targ    1.931e-05    1.931e-05    1.931e-05    1.931e-05    1.931e-05    1.931e-05
         q999_pred    0.0008598    0.0007851    0.0007845      0.00108    0.0008188    0.0006655
         q999_targ      0.00073      0.00073      0.00073      0.00073      0.00073      0.00073
     spec_ratio_hi      -0.3705      -0.1637      -0.1646     0.003975      -0.3009      0.07453
     spec_ratio_lo      0.09595      0.03058      0.02892       0.1918      0.07262      -0.1348
      tm_bias_mean    2.355e-06    5.202e-07    5.205e-07    5.473e-07    1.731e-06   -3.896e-06
      tm_bias_rmse    1.049e-05    3.597e-06    3.749e-06    2.674e-05    8.223e-06    1.433e-05

== FLUT
            metric      S01_off    S01_fresh   S01_fresh2    S01_fixed     S01_half   S01_double
        rmse_step1        10.21        12.49        12.46        12.49        10.61        22.64
      rmse_step120        42.44        41.72        42.77        50.41        42.58         49.3
     rmse_step1460        44.63        43.69        44.31        51.98         44.3        49.55
       rmse_step20         34.4        33.25         33.3        43.36        33.07        47.74
      rmse_step360        45.74           46        45.43         52.1         45.8        52.46
        rmse_step4        19.15        21.64        21.76        25.89        19.27        38.29
         q001_pred        109.9          107        103.7        86.95        108.4        88.75
         q001_targ        107.8        107.8        107.8        107.8        107.8        107.8
         q999_pred        335.6        345.4        348.2        341.2        340.2        331.3
         q999_targ        345.9        345.9        345.9        345.9        345.9        345.9
     spec_ratio_hi      -0.4702     -0.05799     -0.05626      0.02778      -0.3173       0.5068
     spec_ratio_lo     -0.04411    -0.006307    -0.005281      0.07233     -0.03122       0.1136
      tm_bias_mean       0.5253       0.2336       0.2456       -1.809       0.4665       -5.179
      tm_bias_rmse        5.102        2.487        2.532        18.28        4.178        11.21

== U_6
